Id,Name,Email,Exclude,Week 18,22/10/2021,15/10/2021,08/10/2021,01/10/2021,24/09/2021,17/09/2021,10/09/2021,03/09/2021,27/08/2021,20/08/2021,13/08/2021,06/08/2021,30/07/2021,23/07/2021,16/07/2021,09/07/2021,02/07/2021
53,Clare Morris,clare.morris@company.com,,9,4,1,,,,,,,,,,,,,,,
54,Anthony Mottram,anthony.mottram@company.com,,2,5,2,16,14,9,,13,10,10,16,11,3,2,1,16,15,5
55,Paul Mulvenna,paul.mulvenna@company.com,,14,2,17,16,18,,3,6,2,9,6,10,7,5,11,,4,13
56,Roy Naylor,roy.naylor@company.com,,4,9,16,3,2,,13,14,9,10,1,15,9,,,,,
57,Tony Neil,tony.neil@company.com,,18,6,17,10,5,,,16,1,13,9,7,3,1,4,2,12,11
58,Garry Park,garry.park@company.com,,17,6,5,11,7,9,12,14,4,5,5,2,10,,3,14,8,15
59,Maheshkumar Patel,maheshkumar.patel@company.com,,2,8,3,4,11,3,7,10,6,8,5,10,14,12,12,12,12,12
60,Geoffrey Payne,geoffrey.payne@company.com,,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,Sylvia Phillips,sylvia.phillips@company.com,,17,5,17,13,6,14,9,15,17,8,12,4,11,10,2,9,8,13
62,John Platt,john.platt@company.com,,5,7,4,5,11,2,8,1,12,10,2,,1,,7,14,,14
63,Robin Porter,robin.porter@company.com,,8,3,5,5,2,7,7,7,7,7,13,,11,11,11,11,11,
64,Joanne Ritchie,joanne.ritchie@company.com,,12,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
65,John Robinson,john.robinson@company.com,,3,14,16,6,10,,,16,17,,8,8,8,8,9,14,12,9
66,Charmaine Rodrigues,charmaine.rodrigues@company.com,,10,16,9,9,9,9,9,9,9,9,8,9,4,14,13,12,2,15
67,Charles Roper,charles.roper@company.com,,6,15,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10
68,Abdullah Shakeri,abdullah.shakeri@company.com,,13,2,8,4,,9,5,8,,15,14,,11,,9,10,13,
69,Carole Shone,carole.shone@company.com,,18,14,,12,19,12,12,12,16,,5,5,5,5,5,13,,12
70,Laurence Simmonds,laurence.simmonds@company.com,,14,7,14,14,7,3,1,3,5,4,1,13,,7,15,3,15,15
71,Arjan Singh,arjan.singh@company.com,,12,17,5,7,11,16,11,11,1,2,3,9,6,10,1,,,4
72,Alexandra Skelton,alexandra.skelton@company.com,,13,12,16,16,16,14,16,,11,11,4,12,2,12,9,13,15,15
73,Donald Smith,donald.smith@company.com,,6,19,9,12,8,4,,,14,14,14,12,7,,12,11,2,3
74,Edward Smith,edward.smith@company.com,,1,1,5,2,14,12,9,10,,,8,6,12,7,4,,13,9
75,Julie Spence,julie.spence@company.com,,7,10,4,14,5,6,13,15,7,15,10,6,3,14,11,5,1,6
76,Denise Stringer,denise.stringer@company.com,,8,19,15,15,15,15,10,4,3,15,,15,15,,,,,13
77,Daniel Thomson,daniel.thomson@company.com,TRUE,,,,,,,,,,,,,,,,,,
78,Basil Towers,basil.towers@company.com,,17,18,,9,4,16,7,8,13,14,8,7,5,4,14,16,8,2
79,Christopher Turner,christopher.turner@company.com,,16,8,,1,,,,,,,,,,,,,,
80,Matthew Wade,matthew.wade@company.com,,16,10,11,11,18,2,10,12,15,7,12,11,4,7,12,6,10,2
81,Clive Walford,clive.walford@company.com,,11,8,1,2,16,5,3,4,9,5,7,7,6,,6,6,6,6
82,Derek Walker,derek.walker@company.com,TRUE,,,,,,,,,,,,,,,,,,
83,Edward Walsh,edward.walsh@company.com,,9,18,15,4,10,17,14,15,,16,3,3,1,2,2,1,,
84,Joanne Walton,joanne.walton@company.com,,14,17,,,8,,15,15,15,13,11,11,5,6,8,12,13,8
85,Andrea Whitehead,andrea.whitehead@company.com,,15,11,3,,17,10,,1,14,,,,,,,,,
86,Shane Whitmore,shane.whitmore@company.com,TRUE,,,,,17,16,16,10,7,4,,3,12,,5,2,16,7
87,Ken Wright,ken.wright@company.com,,3,1,7,8,,10,6,8,15,15,4,1,7,,,,,
